gene id	category	chr	start	end	numSNPs in region	non-genic:synonymous:non-synonymous	num haplotypes
Sb04g026530.1	8-PAL	4	56402306	56404450	0	0:00:00	0
Sb04g026540.1	8-PAL	4	56411076	56413220	0	0:00:00	0
Sb04g026550.1	8-PAL	4	56419963	56422143	0	0:00:00	0
Sb04g026560.1	8-PAL	4	56435257	56437758	5	1:01:03	5
Sb04g031010.1	15-4CL	4	60986394	60990571	10	2:03:05	8
Sb04g031110.1	SbMYB68	4	61115048	61116356	6	0:04:02	4
Sb04g035780.1	4-HCT	4	65655201	65656689	21	0:06:15	13
Sb04g036770.1	44-CCR	4	66583780	66585297	11	2:03:06	11
Sb04g036780.1	44-CCR	4	66589136	66590605	25	1:07:17	23
Sb04g036890.1	41-COMT	4	66666613	66667998	14	5:02:07	14
Sb04g036900.1	41-COMT	4	66669068	66671130	1	0:01:00	2
Sb04g037820.1	41-COMT	4	67382395	67386428	2	0:01:01	3
Sb05g003780.1	41-COMT	5	4384674	4385889	2	0:00:02	2
Sb05g007043.1	41-COMT	5	12178940	12180669	1	0:00:01	2
Sb05g007210.1	3-F5H	5	12755889	12758128	10	0:00:10	8
Sb05g008830.1	41-COMT	5	17752891	17754630	6	2:00:04	6
Sb05g010100.1	41-COMT	5	20605412	20607079	6	3:02:01	4
Sb05g020500.1	44-CCR	5	50330657	50332399	4	2:01:01	4
Sb05g026710.1	41-COMT	5	60674279	60675686	0	0:00:00	0
Sb05g026730.1	41-COMT	5	60684454	60685870	0	0:00:00	0
Sb05g027340.1	41-COMT	5	61614436	61616948	5	0:03:02	7
Sb06g000816.1	41-COMT	6	1140203	1143336	0	0:00:00	0
Sb06g000820.1	41-COMT	6	1149898	1151703	0	0:00:00	0
Sb06g001430.1	14-CAD	6	2167025	2168295	16	4:07:05	31
Sb06g016630.1	15-4CL	6	45508335	45510110	18	1:09:08	24
Sb06g021640.1	4-HCT	6	50843179	50848263	2	0:01:01	3
Sb06g022740.1	8-PAL	6	51960277	51963081	13	8:03:02	15
Sb06g028240.1	14-CAD	6	57074661	57079263	7	7:00:00	6
Sb06g029520.1	44-CCR	6	58127186	58128649	3	0:00:03	2
Sb06g029550.1	44-CCR	6	58144785	58147043	4	2:01:01	4
Sb06g029560.1	44-CCR	6	58149535	58151206	5	1:03:01	5
Sb06g029570.1	44-CCR	6	58153827	58155463	15	8:03:04	9
Sb06g029580.1	44-CCR	6	58167333	58169014	1	0:00:01	2
Sb06g029590.1	44-CCR	6	58171673	58173649	0	0:00:00	0
Sb06g029600.1	44-CCR	6	58175079	58176786	5	1:01:03	5
Sb06g029630.1	44-CCR	6	58214477	58216230	2	0:00:02	1
Sb07g003580.1	7-CCOAMT	7	4367145	4370502	3	0:02:01	3
Sb07g003860.1	41-COMT	7	4756272	4759637	3	2:00:01	5
Sb07g004660.1	41-COMT	7	6057613	6059557	2	2:00:00	1
Sb07g004680.1	41-COMT	7	6117695	6124043	3	0:02:01	3
Sb07g004690.1	41-COMT	7	6159034	6163106	9	9:00:00	10
Sb07g004710.1	41-COMT	7	6227949	6232569	0	0:00:00	0
Sb07g005070.1	44-CCR	7	6756085	6758819	13	8:03:02	10
Sb07g005970.1	41-COMT	7	8494709	8496472	5	0:03:02	2
Sb07g006090.1	14-CAD	7	8640087	8643832	9	1:02:06	13
Sb07g007810.1	15-4CL	7	12642774	12656705	3	2:01:00	3
Sb07g011460.1	41-COMT	7	21672001	21673196	0	0:00:00	0
Sb07g021680.1	44-CCR	7	55840793	55847878	7	4:03:00	9
Sb07g022040.1	15-4CL	7	56326566	56328611	6	0:02:04	5
Sb07g024270.1	41-COMT	7	59294656	59296830	3	1:01:01	4
Sb07g027340.1	44-CCR	7	62417921	62419759	1	0:01:00	2
Sb07g028360.1	7-CCOAMT	7	63359388	63359932	2	0:00:02	2
Sb07g028490.1	7-CCOAMT	7	63482306	63483311	4	0:03:01	5
Sb07g028520.1	7-CCOAMT	7	63494664	63495599	2	1:01:00	3
Sb07g028530.1	7-CCOAMT	7	63514996	63516324	7	5:02:00	3
Sb08g001245.1	41-COMT	8	1219872	1221584	12	5:04:03	14
Sb08g005125.1	41-COMT	8	6557130	6559784	2	0:01:01	3
Sb08g016410.1	14-CAD	8	43660817	43662072	0	0:00:00	0
Sb09g003710.1	44-CCR	9	4191437	4193565	3	2:01:00	1
Sb09g003740.1	41-COMT	9	4239990	4241492	1	0:01:00	2
Sb09g024210.1	2-C3H	9	53754405	53758600	17	8:08:01	13
Sb09g025510.1	41-COMT	9	54938297	54945165	0	0:00:00	0
Sb09g025530.1	41-COMT	9	55006797	55008244	2	0:01:01	3
Sb09g025540.1	41-COMT	9	55018768	55020383	0	0:00:00	0
Sb09g025550.1	41-COMT	9	55031618	55032647	1	0:01:00	2
Sb09g025570.1	41-COMT	9	55038383	55039737	2	0:02:00	3
Sb09g029490.1	44-CCR	9	58133422	58139764	2	1:01:00	4
Sb10g004540.1	7-CCOAMT	10	4030607	4032515	7	5:01:01	6
Sb10g005700.1	44-CCR	10	5161390	5164687	2	2:00:00	2
Sb10g006270.1	14-CAD	10	5711950	5714251	1	0:00:01	1
Sb10g006280.1	14-CAD	10	5730469	5733611	6	5:01:00	7
Sb10g006290.1	14-CAD	10	5737327	5740568	6	4:01:01	2
Sb10g006300.1	14-CAD	10	5745022	5747508	2	0:01:01	2
Sb10g006310.1	14-CAD	10	5749847	5750788	0	0:00:00	0
Sb10g006330.1	SbSh1	10	5772369	5779511	11	11:00:00	7
Sb10g024470.1	44-CCR	10	53551302	53552842	4	2:00:02	6
Sb10g024480.1	44-CCR	10	53557015	53558648	7	2:00:05	9
Sb10g024500.1	44-CCR	10	53574645	53578015	6	4:01:01	6
Sb10g024510.1	44-CCR	10	53583088	53588677	0	0:00:00	0
Sb10g024520.1	44-CCR	10	53593071	53601826	18	17:01:00	13
Sb10g026130.1	15-4CL	10	55473066	55480047	8	6:02:00	7
Sb10g027190.1	41-COMT	10	56903696	56904591	5	3:02:00	2
Sb10g027640.1	41-COMT	10	57450269	57451960	5	0:02:03	4
